ROI index,stat (raw),p-value (uncorr)
7,0.119755714170902,0.438757173456479
8,0.145586187034462,0.345708900397772
9,0.142977627170092,0.354512385231477
10,0.173887963322076,0.258955798733863
11,0.145960019120828,0.344458371538403
12,0.108101865656448,0.484880486464497
13,0.182383898402067,0.236041203475614
14,0.209057841728752,0.173224730111181
15,0.172576055873173,0.262622153067523
16,0.208405355555724,0.174600752126154
17,0.217420398209794,0.156275688755337
18,0.185469636354003,0.228071893502221
19,0.180254805088106,0.241649260412321
20,0.276494578466099,0.0692386333286555
21,0.185996245025353,0.22673054086419
22,0.183186142088163,0.233951286607935
23,0.0896054203697521,0.562974101054593
24,0.101593419224291,0.511698484475011
25,0.122216234110687,0.429339915029922
26,0.124373964872404,0.421175563980642
27,0.0963026809184502,0.534035402159319
28,0.122102771545049,0.429771669193919
29,0.120470022648577,0.436011552639154
30,0.150800362311217,0.328518586541305
31,0.10821342851895,0.484427283940604
32,0.117525441026298,0.44739110623008
33,0.122266117100854,0.429150174368239
34,0.0958757380401289,0.535858370036391
35,0.180864623142855,0.240033839772469
36,0.175801815315266,0.253668774841652
37,0.219053199035483,0.15311302040322
38,0.199306583191365,0.194614416809759
39,0.225577029498053,0.140944130579446
40,0.227237673588543,0.137964240618701
41,0.209906103693991,0.171447540276887
42,0.215133877202457,0.160784475347591
43,0.268058716773542,0.0785321541915547
44,0.257446448144982,0.0915811693755466
45,0.205938642368425,0.179873832928586
46,0.180465862458097,0.241089332803304
47,0.273767353576407,0.0721426554135791
48,0.243457257982096,0.111275248721692
49,0.219135473534508,0.152954909127995
50,0.250205832553477,0.101406969719971
51,0.147195548429658,0.34034515034335
52,0.139759546812477,0.365558989639311
53,0.169507666199071,0.271331624424969
54,0.179209091640522,0.244436507851818
55,0.179489598280087,0.243686719242447
56,0.184204694589939,0.231316123194136
57,0.15533622518632,0.314007267986782
58,0.168781710435149,0.273419782156995
59,0.177001955115465,0.250390592902326
60,0.147002873662308,0.34098458275718
61,0.19529443861644,0.203935922358135
62,0.16435878493024,0.286370344886715
63,0.275880654740632,0.0698841472552894
64,0.226393757869784,0.139472675239986
65,0.209938962694042,0.171378963191475
66,0.195655382761733,0.203084743002399
67,0.145599670955927,0.345663746084293
68,0.102618531656492,0.507425614544004
69,0.159722665317477,0.30036686621481
70,0.170978660691,0.267132776285453
71,0.170843873069247,0.267515715500609
72,0.170955992404126,0.26719715273923
